区,町,ふりがな,番地,燃えるゴミ,燃えないゴミボンベ・スプレー,,容器包装プラスチック,,缶・びん・ペットボトル,,備考,,パターン,
東灘区,住吉宮町,すみよしみやまち,1丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉宮町,すみよしみやまち,2丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉宮町,すみよしみやまち,3丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉宮町,すみよしみやまち,4丁目,火金,24,月,毎週,木,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,さ,7,7
東灘区,住吉宮町,すみよしみやまち,5丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉宮町,すみよしみやまち,6丁目,月木,13,火,毎週,金,毎週,水,,さ,1,1
東灘区,住吉宮町,すみよしみやまち,7丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,1丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,2丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,3丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,4丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,5丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,6丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,7丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,8丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉山手,すみよしやまて,9丁目,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,住吉台,すみよしだい,,火金,24,月,毎週,木,毎週,水,,さ,7,7
東灘区,田中町,たなかちょう,1丁目,火金,13,木,毎週,月,毎週,水,,た,6,6
東灘区,田中町,たなかちょう,2丁目,火金,13,木,毎週,月,毎週,水,,た,6,6
東灘区,田中町,たなかちょう,3丁目,火金,13,木,毎週,月,毎週,水,,た,6,6
東灘区,田中町,たなかちょう,4丁目,火金,13,木,毎週,月,毎週,水,,た,6,6
東灘区,田中町,たなかちょう,5丁目,火金,13,木,毎週,月,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,た,6,6
東灘区,西岡本,にしおかもと,1丁目,火金,13,木,毎週,月,毎週,水,,な,6,6
東灘区,西岡本,にしおかもと,2丁目,火金,13,木,毎週,月,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,な,6,6
東灘区,西岡本,にしおかもと,3丁目,火金,13,木,毎週,月,毎週,水,この地域は、同じ町内に「容器包装プラスチック」の収集日が異なる地域があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,な,6,6
東灘区,西岡本,にしおかもと,4丁目,火金,13,木,毎週,月,毎週,水,,な,6,6
東灘区,西岡本,にしおかもと,5丁目,火金,13,木,毎週,月,毎週,水,,な,6,6
東灘区,西岡本,にしおかもと,6丁目,火金,13,木,毎週,月,毎週,水,,な,6,6
東灘区,西岡本,にしおかもと,7丁目,火金,13,木,毎週,月,毎週,水,,な,6,6
東灘区,深江北町,ふかえきたまち,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江北町,ふかえきたまち,2丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江北町,ふかえきたまち,3丁目（阪神電鉄より南側）,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江北町,ふかえきたまち,3丁目（阪神電鉄より北側）,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江北町,ふかえきたまち,4丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江北町,ふかえきたまち,5丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江本町,ふかえほんまち,1丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江本町,ふかえほんまち,2丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江本町,ふかえほんまち,3丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江本町,ふかえほんまち,4丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江南町,ふかえみなみまち,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江南町,ふかえみなみまち,2丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江南町,ふかえみなみまち,3丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,深江南町,ふかえみなみまち,4丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,深江浜町,ふかえはままち,,-,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,-,-
東灘区,本庄町,ほんじょうちょう,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,本庄町,ほんじょうちょう,2丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,は,4,4
東灘区,本庄町,ほんじょうちょう,3丁目,月木,24,金,毎週,火,毎週,水,,は,4,4
東灘区,御影石町,みかげいしまち,1丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影石町,みかげいしまち,2丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影石町,みかげいしまち,3丁目,月木,13,火,毎週,金,毎週,水,,ま,1,1
東灘区,御影石町,みかげいしまち,4丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影塚町,みかげつかまち,1丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影塚町,みかげつかまち,2丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影塚町,みかげつかまち,3丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影塚町,みかげつかまち,4丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影中町,みかげなかまち,1丁目,月木,13,火,毎週,金,毎週,水,,ま,1,1
東灘区,御影中町,みかげなかまち,2丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影中町,みかげなかまち,3丁目,月木,13,火,毎週,金,毎週,水,この地域は、同じ町内に「容器包装プラスチック」の収集日が異なる地域があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,1,1
東灘区,御影中町,みかげなかまち,4丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影中町,みかげなかまち,5丁目,月木,13,火,毎週,金,毎週,水,,ま,1,1
東灘区,御影中町,みかげなかまち,6丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影中町,みかげなかまち,7丁目,月木,13,火,毎週,金,毎週,水,,ま,1,1
東灘区,御影中町,みかげなかまち,8丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影本町,みかげほんまち,1丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,2丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,3丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,4丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,5丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,6丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,7丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影本町,みかげほんまち,8丁目,月木,24,火,毎週,金,毎週,水,,ま,3,3
東灘区,御影山手,みかげやまて,1丁目,-,-,-,-,-,-,-,この地域は、同じ町内に収集日が異なる地域があるため収集日を表示することができません。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,-,-
東灘区,御影山手,みかげやまて,2丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影山手,みかげやまて,3丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影山手,みかげやまて,4丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影山手,みかげやまて,5丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影山手,みかげやまて,6丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影,みかげ,1丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影,みかげ,2丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影,みかげ,3丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影郡家,みかげぐんげ,1丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,御影郡家,みかげぐんげ,2丁目,火金,13,月,毎週,木,毎週,水,,ま,5,5
東灘区,本山北町,もとやまきたまち,1丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山北町,もとやまきたまち,2丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山北町,もとやまきたまち,3丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山北町,もとやまきたまち,4丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山北町,もとやまきたまち,5丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山北町,もとやまきたまち,6丁目,-,-,-,-,-,-,-,この地域は、同じ町内に収集日が異なる地域があるため収集日を表示することができません。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,-,-
東灘区,本山中町,もとやまなかまち,1丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山中町,もとやまなかまち,2丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山中町,もとやまなかまち,3丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山中町,もとやまなかまち,4丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山南町,もとやまみなみまち,1丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,2丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,3丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,4丁目,月木,24,金,毎週,火,毎週,水,この地域は、同じ町内に「容器包装プラスチック」の収集日が異なる地域があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,5丁目,月木,13,火,毎週,金,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,1,1
東灘区,本山南町,もとやまみなみまち,6丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,7丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,8丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山南町,もとやまみなみまち,9丁目,月木,24,金,毎週,火,毎週,水,注意！敷地内にコンテナ等を設置している集合住宅は収集日が異なる場合があります。収集日はご利用のクリーンステーション看板でご確認いただくか、環境局東灘事業所（電話：078-841-0161）へお問合せください。,ま,4,4
東灘区,本山町,もとやまちょう,岡本,火金,13,木,毎週,月,毎週,水,,ま,6,6
東灘区,本山町,もとやまちょう,北畑,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,本山町,もとやまちょう,田中,火金,24,月,毎週,木,毎週,水,,ま,7,7
東灘区,森北町,もりきたまち,1丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,2丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,3丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,4丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,5丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,6丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森北町,もりきたまち,7丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森南町,もりみなみまち,1丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森南町,もりみなみまち,2丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
東灘区,森南町,もりみなみまち,3丁目,火金,24,木,毎週,月,毎週,水,,ま,8,8
灘区,青谷町,あおたにちょう,1丁目,火金,24,月,毎週,木,毎週,水,,あ,7,7
灘区,青谷町,あおたにちょう,2丁目,火金,24,月,毎週,木,毎週,水,,あ,7,7
灘区,青谷町,あおたにちょう,3丁目,火金,24,月,毎週,木,毎週,水,,あ,7,7
灘区,青谷町,あおたにちょう,4丁目,火金,24,月,毎週,木,毎週,水,,あ,7,7
